property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
1ed79bbdb63c13ae5521309b7a4487d8,szczecin,53.445816,14.549937,3.0,93.5,4.0,5.0,blockOfFlats,1997.0,2.6,sale,599000
cbd36736272a106c4d73b700389d558e,szczecin,53.44545,14.55238,2.0,37.0,10.0,11.0,blockOfFlats,1970.0,2.52,sale,315000
28b6eacb3aa4299d1a3ca9151cfc1f05,szczecin,53.41691025,14.53617498,2.0,46.1,2.0,3.0,apartmentBuilding,2015.0,1.79,sale,629000
88bd2851a08ec7e2a64b80a7d51bad76,szczecin,53.474167,14.537222,2.0,45.0,1.0,4.0,blockOfFlats,2003.0,5.86,sale,519000
bdacc59fb56d05dcfd1c8249f2c59038,szczecin,53.41477573,14.53064203,2.0,46.8,2.0,4.0,blockOfFlats,1964.0,2.23,sale,499000
7ffd06b3dd7c06e84fa9b5c346e0170e,szczecin,53.4339832833097,14.5447663015548,2.0,44.0,1.0,4.0,blockOfFlats,1964.0,1.59,sale,339000
9e5ae898d54d0a46d4bc927514199326,szczecin,53.4312995,14.5648979,2.0,51.0,2.0,3.0,tenement,1950.0,0.92,sale,469000
0101fdf6916d02b26dd8cfc45e1ea694,szczecin,53.4660213,14.5383199,3.0,86.0,3.0,3.0,blockOfFlats,2012.0,4.97,sale,679000
41828bc18d6dc6938f5bfbf208a3671b,szczecin,53.4044468,14.684028,3.0,69.19,1.0,1.0,blockOfFlats,1950.0,8.42,sale,689000
17da4d5ab1c33eef1ba5207cf645110e,szczecin,53.4318317,14.5396127,5.0,115.0,1.0,4.0,tenement,1930.0,1.7,sale,625000
7295fc18a7d78806ce5a7b1f8a048019,szczecin,53.43191267,14.54941535,2.0,50.53,2.0,4.0,blockOfFlats,1950.0,1.22,sale,485000
e535d36e74e4e780f62bd05112e01f92,szczecin,53.404167,14.503333,1.0,33.46,1.0,17.0,apartmentBuilding,2023.0,4.38,sale,351330
347637651955f4c076615db57cb09944,szczecin,53.41169875,14.52667189,2.0,38.3,4.0,10.0,blockOfFlats,1970.0,2.62,sale,429000
1555b62abce3f8010ebfc2a347d94349,szczecin,53.4268,14.5353,5.0,107.31,3.0,4.0,tenement,1938.0,1.74,sale,649000
20def5fc68a51ab3b44afa9f77eb3f1a,szczecin,53.455075,14.5474,2.0,38.0,1.0,4.0,blockOfFlats,1999.0,3.64,sale,370000
50e78df3e611ddd8241ed551dbb80ab9,szczecin,53.43489405,14.56955927,3.0,68.1,4.0,4.0,tenement,1932.0,1.4,sale,470000
7440778208454fe44e8bb860bd1837d6,szczecin,53.38191215,14.65865651,4.0,74.24,4.0,4.0,blockOfFlats,1988.0,7.95,sale,639000
62b5c86b36c2d6a10b8d62ba839b71e6,szczecin,53.4611827,14.5445153,2.0,35.91,1.0,3.0,apartmentBuilding,2022.0,4.34,sale,505000
f4992a914494d1c93cfffc7cea99f824,szczecin,53.44049,14.57233,2.0,29.8,1.0,4.0,blockOfFlats,1970.0,2.04,sale,320000
c9bb43e20a5090dc5e7f04d1fae76f2d,szczecin,53.44009072,14.49676037,3.0,88.0,3.0,3.0,blockOfFlats,1997.0,4.64,sale,820000
daaa0a32c433d07203954ab00442698f,szczecin,53.42997,14.56525,3.0,68.0,4.0,4.0,tenement,1950.0,0.78,sale,476974
8bdc830bef09984b0cd686509b1f4c23,szczecin,53.47010548,14.57526798,2.0,61.26,3.0,3.0,blockOfFlats,2012.0,5.28,sale,639000
1340b6cf1fda6b1516906bbc165a1d2f,szczecin,53.457778,14.5825,2.0,48.66,2.0,3.0,blockOfFlats,2011.0,4.08,sale,580000
